"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2006","02","02000","Alaska","651,952","71,120","68,060","74,180","68,060 to 74,180","10.9","10.4","11.4","10.4 to 11.4","177,342","25,804","24,148","27,461","24,148 to 27,461","14.6","13.6","15.5","13.6 to 15.5","127,591","16,364","14,831","17,897","14,831 to 17,897","12.8","11.6","14.0","11.6 to 14.0","48,764","8,346","7,629","9,063","7,629 to 9,063","17.1","15.6","18.6","15.6 to 18.6","$58,572","$57,446","$59,699","$57,446 to $59,699"
"2005","02","02000","Alaska","637,576","69,093","65,951","72,236","65,951 to 72,236","10.8","10.3","11.3","10.3 to 11.3","183,124","25,976","24,182","27,769","24,182 to 27,769","14.2","13.2","15.2","13.2 to 15.2","131,910","16,841","15,328","18,354","15,328 to 18,354","12.8","11.6","13.9","11.6 to 13.9","49,196","7,757","6,911","8,602","6,911 to 8,602","15.8","14.0","17.5","14.0 to 17.5","$55,477","$54,210","$56,743","$54,210 to $56,743"
"2004","02","02000","Alaska","649,816","64,660","58,937","70,382","58,937 to 70,382","10.0","9.1","10.8","9.1 to 10.8","187,685","24,243","21,287","27,199","21,287 to 27,199","12.9","11.3","14.5","11.3 to 14.5","134,824","14,841","12,221","17,461","12,221 to 17,461","11.0","9.1","13.0","9.1 to 13.0","50,252","7,493","6,109","8,877","6,109 to 8,877","14.9","12.2","17.7","12.2 to 17.7","$52,141","$50,454","$53,827","$50,454 to $53,827"
"2003","02","02000","Alaska","642,387","63,126","58,920","67,332","58,920 to 67,332","9.8","9.2","10.5","9.2 to 10.5","186,983","23,342","21,006","25,679","21,006 to 25,679","12.5","11.2","13.7","11.2 to 13.7","134,531","14,330","12,571","16,089","12,571 to 16,089","10.7","9.3","12.0","9.3 to 12.0","49,058","7,651","6,153","9,148","6,153 to 9,148","15.6","12.5","18.6","12.5 to 18.6","$52,391","$50,764","$54,018","$50,764 to $54,018"
"2002","02","02000","Alaska","636,327","58,932","54,562","63,302","54,562 to 63,302","9.3","8.6","9.9","8.6 to 9.9","186,944","21,902","19,441","24,362","19,441 to 24,362","11.7","10.4","13.0","10.4 to 13.0","136,112","14,342","12,253","16,431","12,253 to 16,431","10.5","9.0","12.1","9.0 to 12.1","47,976","6,380","5,076","7,684","5,076 to 7,684","13.3","10.6","16.0","10.6 to 16.0","$51,844","$49,860","$53,827","$49,860 to $53,827"
"2001","02","02000","Alaska","628,085","54,357","50,228","58,486","50,228 to 58,486","8.7","8.0","9.3","8.0 to 9.3","187,524","21,568","18,517","24,620","18,517 to 24,620","11.5","9.9","13.1","9.9 to 13.1","135,101","13,565","10,870","16,260","10,870 to 16,260","10.0","8.0","12.0","8.0 to 12.0","47,821","6,449","5,360","7,539","5,360 to 7,539","13.5","11.2","15.8","11.2 to 15.8","$52,332","$50,506","$54,158","$50,506 to $54,158"
"2000","02","02000","Alaska","616,957","52,442","48,413","56,471","48,413 to 56,471","8.5","7.8","9.2","7.8 to 9.2","184,393","21,145","18,573","23,717","18,573 to 23,717","11.5","10.1","12.9","10.1 to 12.9","135,020","13,500","11,223","15,777","11,223 to 15,777","10.0","8.3","11.7","8.3 to 11.7","46,507","6,269","5,017","7,520","5,017 to 7,520","13.5","10.8","16.2","10.8 to 16.2","$51,433","$49,341","$53,525","$49,341 to $53,525"
"1999","02","02000","Alaska","616,255","53,963","47,918","60,009","47,918 to 60,009","8.8","7.8","9.7","7.8 to 9.7","188,567","21,176","16,621","25,730","16,621 to 25,730","11.2","8.8","13.6","8.8 to 13.6","139,424","14,137","10,154","18,120","10,154 to 18,120","10.1","7.3","13.0","7.3 to 13.0","46,880","5,625","3,631","7,619","3,631 to 7,619","12.0","7.7","16.3","7.7 to 16.3","$49,133","$47,528","$50,738","$47,528 to $50,738"
"1998","02","02000","Alaska","611,654","65,970","59,011","72,929","59,011 to 72,929","10.8","9.6","11.9","9.6 to 11.9","191,317","28,014","22,829","33,199","22,829 to 33,199","14.6","11.9","17.4","11.9 to 17.4","142,297","19,387","14,599","24,175","14,599 to 24,175","13.6","10.3","17.0","10.3 to 17.0","46,424","7,182","5,094","9,270","5,094 to 9,270","15.5","11.0","20.0","11.0 to 20.0","$47,177","$45,029","$49,325","$45,029 to $49,325"
"1997","02","02000","Alaska","NA","68,409","61,430","75,389","61,430 to 75,389","11.2","10.0","12.3","10.0 to 12.3","NA","31,968","27,574","36,361","27,574 to 36,361","16.2","13.9","18.4","13.9 to 18.4","NA","21,786","17,981","25,591","17,981 to 25,591","15.1","12.5","17.8","12.5 to 17.8","NA","8,906","6,843","10,969","6,843 to 10,969","17.3","13.3","21.3","13.3 to 21.3","$43,657","$41,257","$46,057","$41,257 to $46,057"
"1996","02","02000","Alaska","NA","64,480","57,707","71,252","57,707 to 71,252","10.6","9.5","11.7","9.5 to 11.7","NA","28,707","24,513","32,901","24,513 to 32,901","14.8","12.7","17.0","12.7 to 17.0","NA","18,547","14,661","22,433","14,661 to 22,433","13.3","10.5","16.1","10.5 to 16.1","NA","8,598","6,705","10,491","6,705 to 10,491","16.8","13.1","20.5","13.1 to 20.5","$44,797","$41,914","$47,680","$41,914 to $47,680"
"1995","02","02000","Alaska","NA","60,735","56,869","64,600","56,869 to 64,600","10.1","9.4","10.7","9.4 to 10.7","NA","25,270","22,264","28,276","22,264 to 28,276","13.2","11.6","14.8","11.6 to 14.8","NA","15,234","13,009","17,459","13,009 to 17,459","11.2","9.6","12.8","9.6 to 12.8","NA","8,180","6,144","10,215","6,144 to 10,215","15.7","11.8","19.6","11.8 to 19.6","$42,255","$40,268","$44,242","$40,268 to $44,242"
"1993","02","02000","Alaska","NA","67,099","60,751","73,447","60,751 to 73,447","11.2","10.1","12.2","10.1 to 12.2","NA","30,628","26,543","34,713","26,543 to 34,713","15.9","13.7","18.0","13.7 to 18.0","NA","17,496","13,969","21,023","13,969 to 21,023","13.3","10.6","16.0","10.6 to 16.0","NA","11,548","10,105","12,991","10,105 to 12,991","20.3","17.8","22.9","17.8 to 22.9","$39,431","$37,807","$41,055","$37,807 to $41,055"
"1989","02","02000","Alaska","NA","57,539","54,059","61,019","54,059 to 61,019","10.6","10.0","11.3","10.0 to 11.3","NA","26,590","24,359","28,821","24,359 to 28,821","15.4","14.1","16.7","14.1 to 16.7","NA","14,701","12,957","16,445","12,957 to 16,445","12.9","11.3","14.4","11.3 to 14.4","NA","9,989","8,476","11,502","8,476 to 11,502","17.7","15.1","20.4","15.1 to 20.4","$33,885","$31,839","$35,931","$31,839 to $35,931"
"2014","04","04000","Arizona","6,573,428","1,195,889","1,175,667","1,216,111","1,175,667 to 1,216,111","18.2","17.9","18.5","17.9 to 18.5","1,589,975","406,457","396,052","416,862","396,052 to 416,862","25.6","24.9","26.3","24.9 to 26.3","1,161,729","278,735","269,805","287,665","269,805 to 287,665","24.0","23.2","24.8","23.2 to 24.8","418,588","118,958","113,468","124,448","113,468 to 124,448","28.4","27.1","29.7","27.1 to 29.7","$50,036","$49,561","$50,511","$49,561 to $50,511"
"2013","04","04000","Arizona","6,477,186","1,206,948","1,184,107","1,229,789","1,184,107 to 1,229,789","18.6","18.2","19.0","18.2 to 19.0","1,590,036","422,435","409,848","435,022","409,848 to 435,022","26.6","25.8","27.4","25.8 to 27.4","1,157,423","289,696","278,496","300,896","278,496 to 300,896","25.0","24.0","26.0","24.0 to 26.0","421,785","122,889","117,153","128,625","117,153 to 128,625","29.1","27.7","30.5","27.7 to 30.5","$48,504","$47,932","$49,076","$47,932 to $49,076"
"2012","04","04000","Arizona","6,401,276","1,195,931","1,177,400","1,214,462","1,177,400 to 1,214,462","18.7","18.4","19.0","18.4 to 19.0","1,592,569","430,378","418,981","441,775","418,981 to 441,775","27.0","26.3","27.7","26.3 to 27.7","1,155,367","291,886","282,134","301,638","282,134 to 301,638","25.3","24.5","26.1","24.5 to 26.1","428,510","130,571","124,662","136,480","124,662 to 136,480","30.5","29.1","31.9","29.1 to 31.9","$47,796","$47,213","$48,379","$47,213 to $48,379"
"2011","04","04000","Arizona","6,336,450","1,201,376","1,176,529","1,226,223","1,176,529 to 1,226,223","19.0","18.6","19.4","18.6 to 19.4","1,597,593","434,571","420,527","448,615","420,527 to 448,615","27.2","26.3","28.1","26.3 to 28.1","1,147,251","294,963","282,593","307,333","282,593 to 307,333","25.7","24.6","26.8","24.6 to 26.8","442,654","132,554","125,574","139,534","125,574 to 139,534","29.9","28.3","31.5","28.3 to 31.5","$46,710","$46,173","$47,247","$46,173 to $47,247"
"2010","04","04000","Arizona","6,272,700","1,105,075","1,082,284","1,127,866","1,082,284 to 1,127,866","17.6","17.2","18.0","17.2 to 18.0","1,605,114","401,664","387,835","415,493","387,835 to 415,493","25.0","24.1","25.9","24.1 to 25.9","1,147,352","263,822","251,690","275,954","251,690 to 275,954","23.0","21.9","24.1","21.9 to 24.1","448,669","129,973","123,200","136,746","123,200 to 136,746","29.0","27.5","30.5","27.5 to 30.5","$46,787","$46,278","$47,296","$46,278 to $47,296"
"2009","04","04000","Arizona","6,475,512","1,065,728","1,045,152","1,086,305","1,045,152 to 1,086,305","16.5","16.1","16.8","16.1 to 16.8","1,702,644","396,006","383,185","408,827","383,185 to 408,827","23.3","22.5","24.0","22.5 to 24.0","1,185,875","254,203","243,872","264,534","243,872 to 264,534","21.4","20.6","22.3","20.6 to 22.3","509,060","134,617","127,395","141,838","127,395 to 141,838","26.4","25.0","27.9","25.0 to 27.9","$48,711","$48,242","$49,180","$48,242 to $49,180"
"2008","04","04000","Arizona","6,379,305","935,247","915,163","955,331","915,163 to 955,331","14.7","14.3","15.0","14.3 to 15.0","1,678,065","347,462","335,697","359,227","335,697 to 359,227","20.7","20.0","21.4","20.0 to 21.4","1,162,739","223,217","213,298","233,136","213,298 to 233,136","19.2","18.3","20.1","18.3 to 20.1","505,169","116,264","110,425","122,103","110,425 to 122,103","23.0","21.9","24.2","21.9 to 24.2","$51,009","$50,506","$51,512","$50,506 to $51,512"
"2007","04","04000","Arizona","6,225,517","876,120","855,871","896,369","855,871 to 896,369","14.1","13.7","14.4","13.7 to 14.4","1,639,127","327,941","316,503","339,380","316,503 to 339,380","20.0","19.3","20.7","19.3 to 20.7","1,140,422","209,683","199,940","219,426","199,940 to 219,426","18.4","17.5","19.2","17.5 to 19.2","489,088","109,652","103,335","115,970","103,335 to 115,970","22.4","21.1","23.7","21.1 to 23.7","$49,923","$49,433","$50,414","$49,433 to $50,414"
"2006","04","04000","Arizona","6,052,140","860,355","842,853","877,857","842,853 to 877,857","14.2","13.9","14.5","13.9 to 14.5","1,597,211","316,241","305,732","326,749","305,732 to 326,749","19.8","19.1","20.5","19.1 to 20.5","1,117,931","203,223","194,057","212,389","194,057 to 212,389","18.2","17.4","19.0","17.4 to 19.0","469,806","104,911","99,716","110,107","99,716 to 110,107","22.3","21.2","23.4","21.2 to 23.4","$47,315","$46,890","$47,740","$46,890 to $47,740"
"2005","04","04000","Arizona","5,802,687","836,742","818,414","855,071","818,414 to 855,071","14.4","14.1","14.7","14.1 to 14.7","1,546,935","323,003","311,747","334,258","311,747 to 334,258","20.9","20.2","21.6","20.2 to 21.6","1,084,364","205,175","196,027","214,323","196,027 to 214,323","18.9","18.1","19.8","18.1 to 19.8","452,724","110,038","103,639","116,437","103,639 to 116,437","24.3","22.9","25.7","22.9 to 25.7","$44,402","$43,799","$45,004","$43,799 to $45,004"
"2004","04","04000","Arizona","5,842,118","853,587","795,925","911,249","795,925 to 911,249","14.6","13.6","15.6","13.6 to 15.6","1,573,902","338,384","306,966","369,802","306,966 to 369,802","21.5","19.5","23.5","19.5 to 23.5","1,088,316","214,962","187,998","241,926","187,998 to 241,926","19.8","17.3","22.2","17.3 to 22.2","456,722","112,042","96,304","127,781","96,304 to 127,781","24.5","21.1","28.0","21.1 to 28.0","$43,696","$42,282","$45,110","$42,282 to $45,110"
"2003","04","04000","Arizona","5,643,394","783,005","736,508","829,502","736,508 to 829,502","13.9","13.1","14.7","13.1 to 14.7","1,539,917","316,973","290,274","343,672","290,274 to 343,672","20.6","18.8","22.3","18.8 to 22.3","1,074,882","213,295","192,439","234,151","192,439 to 234,151","19.8","17.9","21.8","17.9 to 21.8","440,100","92,147","75,773","108,522","75,773 to 108,522","20.9","17.2","24.7","17.2 to 24.7","$41,963","$40,557","$43,368","$40,557 to $43,368"
"2002","04","04000","Arizona","5,485,046","746,145","700,483","791,807","700,483 to 791,807","13.6","12.8","14.4","12.8 to 14.4","1,506,179","302,013","275,180","328,847","275,180 to 328,847","20.1","18.3","21.8","18.3 to 21.8","1,064,663","197,535","175,290","219,780","175,290 to 219,780","18.6","16.5","20.6","16.5 to 20.6","422,799","94,589","79,767","109,411","79,767 to 109,411","22.4","18.9","25.9","18.9 to 25.9","$40,724","$39,014","$42,434","$39,014 to $42,434"
"2001","04","04000","Arizona","5,342,423","703,143","661,009","745,277","661,009 to 745,277","13.2","12.4","14.0","12.4 to 14.0","1,472,911","280,198","250,418","309,978","250,418 to 309,978","19.0","17.0","21.0","17.0 to 21.0","1,023,251","182,501","157,242","207,760","157,242 to 207,760","17.8","15.4","20.3","15.4 to 20.3","419,094","85,645","72,503","98,787","72,503 to 98,787","20.4","17.3","23.6","17.3 to 23.6","$41,403","$39,943","$42,864","$39,943 to $42,864"
"2000","04","04000","Arizona","5,194,502","646,762","607,154","686,370","607,154 to 686,370","12.5","11.7","13.2","11.7 to 13.2","1,413,775","263,677","240,454","286,900","240,454 to 286,900","18.7","17.0","20.3","17.0 to 20.3","981,986","179,647","159,905","199,389","159,905 to 199,389","18.3","16.3","20.3","16.3 to 20.3","400,347","73,834","61,484","86,184","61,484 to 86,184","18.4","15.4","21.5","15.4 to 21.5","$40,437","$38,655","$42,219","$38,655 to $42,219"
"1999","04","04000","Arizona","5,027,482","643,045","595,693","690,397","595,693 to 690,397","12.8","11.8","13.7","11.8 to 13.7","1,338,513","251,160","217,690","284,631","217,690 to 284,631","18.8","16.3","21.3","16.3 to 21.3","929,755","160,987","130,985","190,989","130,985 to 190,989","17.3","14.1","20.5","14.1 to 20.5","377,011","76,016","60,366","91,666","60,366 to 91,666","20.2","16.0","24.3","16.0 to 24.3","$38,642","$37,345","$39,939","$37,345 to $39,939"
"1998","04","04000","Arizona","4,764,511","710,652","664,872","756,432","664,872 to 756,432","14.9","14.0","15.9","14.0 to 15.9","1,354,868","306,865","274,944","338,786","274,944 to 338,786","22.6","20.3","25.0","20.3 to 25.0","920,388","197,568","170,735","224,401","170,735 to 224,401","21.5","18.6","24.4","18.6 to 24.4","395,926","98,350","82,034","114,667","82,034 to 114,667","24.8","20.7","29.0","20.7 to 29.0","$37,281","$35,629","$38,933","$35,629 to $38,933"
"1997","04","04000","Arizona","NA","720,713","674,657","766,769","674,657 to 766,769","15.5","14.5","16.5","14.5 to 16.5","NA","305,109","278,711","331,507","278,711 to 331,507","23.2","21.2","25.2","21.2 to 25.2","NA","197,966","176,266","219,666","176,266 to 219,666","22.1","19.6","24.5","19.6 to 24.5","NA","97,091","82,613","111,569","82,613 to 111,569","25.1","21.3","28.8","21.3 to 28.8","$34,751","$33,067","$36,436","$33,067 to $36,436"
"1996","04","04000","Arizona","NA","741,878","695,813","787,942","695,813 to 787,942","16.3","15.3","17.3","15.3 to 17.3","NA","308,224","280,112","336,335","280,112 to 336,335","24.5","22.2","26.7","22.2 to 26.7","NA","193,204","168,808","217,600","168,808 to 217,600","23.0","20.1","25.9","20.1 to 25.9","NA","104,090","90,769","117,410","90,769 to 117,410","28.2","24.6","31.8","24.6 to 31.8","$32,708","$30,973","$34,442","$30,973 to $34,442"
"1995","04","04000","Arizona","NA","722,660","695,614","749,707","695,614 to 749,707","16.3","15.7","16.9","15.7 to 16.9","NA","309,584","290,968","328,200","290,968 to 328,200","24.7","23.2","26.1","23.2 to 26.1","NA","187,989","176,382","199,596","176,382 to 199,596","22.1","20.7","23.5","20.7 to 23.5","NA","111,880","97,251","126,508","97,251 to 126,508","29.8","25.9","33.7","25.9 to 33.7","$31,736","$30,299","$33,173","$30,299 to $33,173"
"1993","04","04000","Arizona","NA","757,556","718,443","796,669","718,443 to 796,669","18.5","17.6","19.5","17.6 to 19.5","NA","321,595","301,840","341,350","301,840 to 341,350","28.0","26.3","29.7","26.3 to 29.7","NA","195,024","179,791","210,257","179,791 to 210,257","25.0","23.0","27.0","23.0 to 27.0","NA","116,670","107,364","125,976","107,364 to 125,976","33.0","30.3","35.6","30.3 to 35.6","$28,427","$27,098","$29,756","$27,098 to $29,756"
"1989","04","04000","Arizona","NA","535,462","513,276","557,648","513,276 to 557,648","14.7","14.1","15.3","14.1 to 15.3","NA","230,093","215,633","244,553","215,633 to 244,553","23.3","21.9","24.8","21.9 to 24.8","NA","145,192","133,183","157,201","133,183 to 157,201","21.5","19.7","23.3","19.7 to 23.3","NA","71,814","63,286","80,342","63,286 to 80,342","24.0","21.1","26.8","21.1 to 26.8","$28,924","$27,781","$30,067","$27,781 to $30,067"
"2014","05","05000","Arkansas","2,882,846","539,999","528,604","551,394","528,604 to 551,394","18.7","18.3","19.1","18.3 to 19.1","696,524","183,334","177,391","189,277","177,391 to 189,277","26.3","25.4","27.2","25.4 to 27.2","503,980","123,704","118,685","128,723","118,685 to 128,723","24.5","23.5","25.5","23.5 to 25.5","187,807","55,833","52,857","58,809","52,857 to 58,809","29.7","28.1","31.3","28.1 to 31.3","$41,335","$40,702","$41,968","$40,702 to $41,968"
"2013","05","05000","Arkansas","2,873,346","557,399","545,273","569,525","545,273 to 569,525","19.4","19.0","19.8","19.0 to 19.8","695,853","197,129","190,244","204,014","190,244 to 204,014","28.3","27.3","29.3","27.3 to 29.3","504,165","132,920","126,907","138,933","126,907 to 138,933","26.4","25.2","27.6","25.2 to 27.6","187,591","60,285","56,772","63,798","56,772 to 63,798","32.1","30.2","34.0","30.2 to 34.0","$40,605","$39,921","$41,289","$39,921 to $41,289"
"2012","05","05000","Arkansas","2,865,097","560,928","549,034","572,822","549,034 to 572,822","19.6","19.2","20.0","19.2 to 20.0","698,828","196,464","190,326","202,602","190,326 to 202,602","28.1","27.2","29.0","27.2 to 29.0","505,053","133,507","128,213","138,801","128,213 to 138,801","26.4","25.4","27.4","25.4 to 27.4","189,313","59,482","56,503","62,461","56,503 to 62,461","31.4","29.8","33.0","29.8 to 33.0","$40,151","$39,666","$40,636","$39,666 to $40,636"
